FRXAPA01,"M.S. Zisman, LBNL, Berkeley, California","Neutrino Factories and Beta Beams",
MOPLS103,"W. Wuensch, C. Achard, CERN, Geneva; H. Aksakal, Ankara University, Faculty of Sciences, Tandogan/Ankara; H.-H. Braun, G. Carron, R. Corsini, S. Doebert, R. Fandos, A. Grudiev, E. Jensen, CERN, Geneva; Ö.M. Mete, Ankara University, Faculty of Engineering, Tandogan, Ankara; T. Ramsvik, J.A. Rodriguez, J.P.H. Sladen, I. Syratchev, M. Taborelli, F. Tecker, P. Urschütz, I. Wilson, CERN, Geneva","A High-gradient Test of a 30 GHz Molybdenum-iris Structure",
MOPLS104,"N. Solyak, H. Edwards, M. Foley, I.G. Gonin, E.R. Harms, T.K. Khabiboulline, D.V. Mitchell, D.O. Olis, A.M. Rowe, Fermilab, Batavia, Illinois","The Progress in Developing Superconducting Third Harmonic Cavity",
MOPLS105,"A.A. Mikhailichenko, Cornell University, Department of Physics, Ithaca, New York","Collimators for ILC",
MOPLS106,"A.A. Mikhailichenko, Cornell University, Department of Physics, Ithaca, New York","Independent Operation of Electron/Positron Wings of ILC",
MOPLS107,"A.A. Mikhailichenko, Cornell University, Department of Physics, Ithaca, New York","Test of SC Undulator for ILC",
MOPLS108,"A.A. Mikhailichenko, Cornell University, Department of Physics, Ithaca, New York","Liquid Metal Target for ILC",
MOPLS109,"A.A. Mikhailichenko, Cornell University, Department of Physics, Ithaca, New York","Operational Experience with Undulator for E-166",
MOPLS110,"C. Adolphsen, SLAC, Menlo Park, California","ILC Linac Ramp;D at SLAC",
MOPLS113,"J. Lesrel, J. Arianer, M. Arianer, O. Bajeat, IPN, Orsay; G. Bienvenu, LAL, Orsay; J-M. Buhour, H. Bzyl, F. Carrey, IPN, Orsay; J-N. Cayla, LAL, Orsay; M. Chabot, J.-L. Coacolo, T. Corbin, H. Croizet, J.-M. Curaudeau, IPN, Orsay; M. Desmons, LAL, Orsay; F. Doizon, M. Ducourtieux, J.-M. Dufour, S. Essabaa, D. Grialou, C. Joly, M. Kaminski, H. Lefort, B. Lesellier, G. Magneney, L. Mottet, Y. Ollivier, C. Planat, M. Raynaud, Y. Richard, A. Said, A. Semsoum, F. Taquin, C. Vogel, IPN, Orsay","Commissioning of the ALTO 50 MeV Electron Linac",
MOPLS114,"J. Brossard, M. Desmons, B.M. Mercier, C.P. Prevost, R. Roux, LAL, Orsay","Construction of the Probe Beam Photo-injector of CTF3",
MOPLS115,"P.O. Schmid, N.J. Walker, DESY, Hamburg","A Spin Rotator for the ILC",
MOPLS116,"A. Jankowiak, K. Aulenbacher, O. Chubarov, M. Dehn, H. Euteneuer, F.F. Fichtner, F. Hagenbuck, R.H. Herr, P. Jennewein, K.-H. Kaiser, W.K. Klag, H.J. Kreidel, U.L. Ludwig-Mertin, J.R. Röthgen, S.S. Schumann, G.S. Stephan, V. Tioukine, IKP, Mainz","Status Report on the Harmonic Double-sided Microtron of MAMI C",
MOPLS117,"J.K. Jones, CCLRC/DL/ASTeC, Daresbury, Warrington, Cheshire","Tuning Algorithms for the ILC Beam Delivery System",
MOPLS118,"J. Rochford, CCLRC/RAL/ASTeC, Chilton, Didcot, Oxon; I.R. Bailey, Cockcroft Institute, Warrington, Cheshire; D.P. Barber, DESY, Hamburg; E. Baynham, T.W. Bradshaw, CCLRC/RAL/ASTeC, Chilton, Didcot, Oxon; A.J. Brummitt, CCLRC/RAL, Chilton, Didcot, Oxon; F.S. Carr, CCLRC/RAL/ASTeC, Chilton, Didcot, Oxon; J.A. Clarke, CCLRC/DL/ASTeC, Daresbury, Warrington, Cheshire; P. Cooke, J.B. Dainton, Liverpool University, Science Faculty, Liverpool; Y. Ivanyushenkov, CCLRC/RAL, Chilton, Didcot, Oxon; O.B. Malyshev, CCLRC/DL/ASTeC, Daresbury, Warrington, Cheshire; L.I. Malysheva, Cockcroft Institute, Warrington, Cheshire; G.A. Moortgat-Pick, Durham University, Durham; D.J. Scott, CCLRC/DL/ASTeC, Daresbury, Warrington, Cheshire","Magnetic Modelling of a Short-period Superconducting Helical Undulator for the ILC Positron Source",
MOPLS120,"R.M. Jones, R.M. Jones, UMAN, Manchester; R.H. Miller, SLAC, Menlo Park, California","Mitigation of Emittance Dilution due to Transverse Mode Coupling in the L-band Linacs of the ILC",
MOPLS121,"G. Mazzitelli, B. Buonomo, L. Quintieri, INFN/LNF, Frascati (Roma); P. Valente, INFN-Roma, Roma","The DAFNE Beam Test Facility: from 1 to 10 Milliards of Particles",
MOPLS122,"P. Burrows, Queen Mary University of London, London; G.B. Christian, JAI, Oxford; C.C. Clarke, OXFORDphysics, Oxford, Oxon; H. Dabiri Khah, A.F. Hartin, JAI, Oxford; A. Kalinin, CCLRC/DL/ASTeC, Daresbury, Warrington, Cheshire; D.J. McCormick, S. Molloy, SLAC, Menlo Park, California; C. Perry, OXFORDphysics, Oxford, Oxon; M.C. Ross, SLAC, Menlo Park, California; G.R. White, JAI, Oxford","Design of the ILC Prototype FONT4 Digital Intra-train Beam-based Feedback System",
MOPLS123,"P. Burrows, Queen Mary University of London, London; G.B. Christian, JAI, Oxford; C.C. Clarke, OXFORDphysics, Oxford, Oxon; A.F. Hartin, JAI, Oxford; A. Kalinin, CCLRC/DL/ASTeC, Daresbury, Warrington, Cheshire; H.D. Khah, JAI, Oxford; D.J. McCormick, S. Molloy, SLAC, Menlo Park, California; C. Perry, OXFORDphysics, Oxford, Oxon; M.C. Ross, SLAC, Menlo Park, California; G.R. White, JAI, Oxford","Performance of the FONT3 Fast Analogue Intra-train Beam-based Feedback System at ATF",
MOPLS124,"M. Satoh, KEK, Ibaraki","The KEK Injector Upgrade for the Fast Beam-Mode Switch",
MOPLS128,"S.T. Heikkinen, HUT, Espoo; S. Calatroni, CERN, Geneva; S.T. Heikkinen, HUT, Espoo; H. Neupert, W. Wuensch, CERN, Geneva","Status of the Fatigue Studies of the CLIC Accelerating Structures",
MOPLS129,"S. Doebert, CERN, Geneva","Integration of the PHIN RF Gun into the CLIC Test Facility",
MOPLS130,"A. Latina, CERN, Geneva; P. Eliasson, Uppsala University, Uppsala; D. Schulte, CERN, Geneva","Implications of a Curved Tunnel for the Main Linac of CLIC",
MOPLS133,"G.X. Xia, Eckhard. Elsen, DESY, Hamburg","Preliminary Studies of Ion Effects in ILC Damping Rings",
MOPLS134,"H.-H. Braun, M. Korostelev, CERN, Geneva; E.B. Levitchev, P.A. Piminov, BINP SB RAS, Novosibirsk; D. Schulte, CERN, Geneva; S.V. Sinyatkin, P. Vobly, BINP SB RAS, Novosibirsk; F. Zimmermann, CERN, Geneva; K. Zolotarev, BINP SB RAS, Novosibirsk","Minimizing Emittance for the CLIC Damping Ring",
MOPLS135,"M. Korostelev, F. Zimmermann, CERN, Geneva","Correction of Vertical Dispersion and Betatron Coupling for the CLIC Damping Ring",
MOPLS136,"F. Zimmermann, W. Bruns, D. Schulte, CERN, Geneva","Ion Effects in the Damping Rings of ILC and CLIC",
MOPLS137,"I. Reichel, LBNL, Berkeley, California; A. Wolski, Liverpool University, Science Faculty, Liverpool","Tracking Studies to Determine the Required Wiggler Aperture for the ILC Damping Rings",
MOPLS138,"M. Venturini, LBNL, Berkeley, California; K. Oide, KEK, Ibaraki; A. Wolski, Liverpool University, Science Faculty, Liverpool","Space Charge and Equilibrium Emittances in Damping Rings",
MOPLS139,"A. Wolski, Liverpool University, Science Faculty, Liverpool; J. Gao, IHEP Beijing, Beijing; S. Guiducci, INFN/LNF, Frascati (Roma)","Choosing a Baseline Configuration for the ILC Damping Rings",
MOPLS140,"J.K. Jones, CCLRC/DL/ASTeC, Daresbury, Warrington, Cheshire","Tuning Algorithms for the ILC Damping Rings",
MOPLS141,"M.A. Palmer, Cornell University, Laboratory for Elementary-Particle Physics, Ithaca, New York; M. Ehrlichman, University of Minnesota, Minneapolis, Minnesota; R.W. Helms, D. L. Rubin, D. Sagan, J.T. Urban, Cornell University, Laboratory for Elementary-Particle Physics, Ithaca, New York","The Proposed Conversion of CESR to an ILC Damping Ring Test Facility",
MOPLS142,"J.T. Urban, G. Dugan, M.A. Palmer, Cornell University, Laboratory for Elementary-Particle Physics, Ithaca, New York","Optimization of CESR-c Superferric Wiggler for the International Linear Collider Damping Rings",
MOPLS143,"L. Wang, T.O. Raubenheimer, G.V. Stupakov, SLAC, Menlo Park, California","Suppression of Secondary Emission in a Magnetic Field using Sawtooth Surface",
MOXPA01,"B.C. Barish, CALTECH, Pasadena, California","The Global Design Initiative for an International Linear Collider",
MOXPA02,"K. Saito, KEK, Ibaraki","SCRF Test Facilities toward the ILC",
MOYAPA01,"V. Malka, Ecole Polytechnique, Palaiseau; J. Faure, CEA, Gif-sur-Yvette; Y. Glinec, A. Lifschitz, LOA, Palaiseau","Laser-plasma Wakefield Acceleration: Concepts, Tests and Premises",
MOYBPA01,"O.S. Brüning, CERN, Geneva","LHC Progress and Commissioning Plans",
MOYBPA02,"K. Akai, KEK, Ibaraki","Operation of High-luminosity Meson Factories and the Challenge to go to the Next Generation",
MOZAPA01,"P.J. Spiller, W. Barth, L.A. Dahl, H. Eickhoff, R. Hollinger, P.S. Spaedtke, GSI, Darmstadt","Approaches to High Intensities for FAIR",
MOZAPA02,"N. Holtkamp, ORNL, Oak Ridge, Tennessee","Commissioning Highlights of the Spallation Neutron Source",
MOZBPA01,"J. Rossbach, DESY, Hamburg","Results from the VUV-FEL",
MOZBPA02,"S.L. Smith, CCLRC/DL/ASTeC, Daresbury, Warrington, Cheshire","A Review of ERL Prototype Experience and Light Source Design Challenges",
THESPA01,"R. Penrose, Mathematical Institute, Oxford","Before the Big Bang: An Outrageous New Perspective and its Implications for Particle Physics",
THOAFI01,"D.A. Bartkoski, A.V. Aleksandrov, S.M. Cousineau, S. Henderson, J.A. Holmes, ORNL, Oak Ridge, Tennessee","The Development of Computational Tools for Halo Analysis and Study of Halo Growth in the Spallation Neutron Source Linear Accelerator",
THOAFI02,"H.-S. Kang, J. Choi, M. Kim, T.-Y. Koo, T.-Y. Lee, P.C.D. Park, PAL, Pohang, Kyungbuk","Ion Instability Observed in PLS Revolver In-vacuum Undulator",
THOAFI03,"R. Calaga, BNL, Upton, Long Island, New York; F. Franchi, GSI, Darmstadt; R. Tomas, CERN, Geneva","Global and Local Coupling Compensation in RHIC using AC Dipoles",
THOBFI01,"F. Loehl, K.E. Hacker, F. Ludwig, H. Schlarb, B. Schmidt, DESY, Hamburg; A. Winter, Uni HH, Hamburg","A Sub 100 fs Electron Bunch Arrival-time Monitor System for FLASH",
THOBFI02,"H. Sakai, ISSP/SRL, Chiba; H. Hayano, T. Muto, KEK, Ibaraki; N. Nakamura, ISSP/SRL, Chiba","Measurement of the Beam Profiles with the Improved Fresnel Zone Plate Monitor",
THOBFI03,"S.A. Nikitin, O. Anchugov, V.E. Blinov, A. Bogomyagkov, V.P. Cherepanov, G.V. Karpov, V. Kiselev, E. Levichev, I.B. Nikolaev, A.A. Polunin, E. Shubin, E.A. Simonov, V.V. Smaluk, M.V. Struchalin, G.M. Tumaikin, BINP SB RAS, Novosibirsk","Record-high Resolution Experiments on Comparison of Spin Precession Frequencies of Electron Bunches Using the Resonant Depolarization Technique in the Storage Ring",
THOPA01,"M. Cornacchia, S. Di Mitri, G. Penco, ELETTRA, Basovizza, Trieste; A. Zholents, LBNL, Berkeley, California","Formation of Electron Bunches for Harmonic Cascade X-ray Free Electron Lasers",
THOPA02,"T. Shintake, RIKEN Spring-8 Harima, Hyogo","Status of the SCSS Test Accelerator and XFEL Project in Japan",
THOPA03,"J. Kim, J. Burnham, dc. Cheever, J. Chen, MIT, Cambridge, Massachusetts; M. Ferianis, ELETTRA, Basovizza, Trieste; F.O. Ilday, Bilkent University, Bilkent, Ankara; F.X. Kaertner, MIT, Cambridge, Massachusetts; F. Ludwig, H. Schlarb, A. Winter, DESY, Hamburg","An Integrated Femtosecond Timing Distribution System for XFELs",
THPCH001,"R. Pakter, F.B. Rizzato, W. Simeoni, IF-UFRGS, Porto Alegre","Nonlinear Stability in the Transport of Mismatched Beams in a Uniform Focusing Field",
THPCH002,"F.B. Rizzato, K. Fiuza, R. Pakter, IF-UFRGS, Porto Alegre","Combined Centroid-envelope Dynamics of Intense, Magnetically Focused Charged Beams Surrounded by Conducting Walls",
THPCH003,"M. Caron, F. Cartier, D.C. Collignon, L.H. Hourdin, M. Mouillet, D.P. Paradis, N. Pichoff, CEA, Bruyères-le-Châtel","Influence of Beam-Breakup Instabilities on Electron Focusing",
THPCH004,"G. Franchetti, I. Hofmann, GSI, Darmstadt","Space Charge Induced Resonance Trapping in High-intensity Synchrotrons",
THPCH005,"G. Franchetti, O. Boine-Frankenheim, I. Hofmann, V. Kornilov, P.J. Spiller, J. Stadlmann, GSI, Darmstadt","Considerations for the High-intensity Working Point of the SIS100",
THPCH006,"I. Hofmann, G. Franchetti, GSI, Darmstadt","Scaling Laws for the Montague Resonance",
THPCH007,"C. Zhang, A. Schempp, IAP, Frankfurt-am-Main","Development of a High Current Proton Linac for FRANZ",
THPCH008,"A.N. Chechenin, R. Maier, Y. Senichev, FZJ, Jülich","The Non-linear Space Charge Field Compensation of the Electron Beam in the High Energy Storage Ring of FAIR",
THPCH010,"M. Ferrario, G. Gatti, INFN/LNF, Frascati (Roma); J.B. Rosenzweig, UCLA, Los Angeles, California; L. Serafini, INFN-Milano, Milano","Electron Beam-laser Interaction near the Cathode in a High Brightness Photoinjector",
THPCH011,"M. Zobov, D. Alesini, C. Milardi, M.A. Preger, P. Raimondi, INFN/LNF, Frascati (Roma); D.N. Shatilov, BINP SB RAS, Novosibirsk","Wire Compensation of Parasitic Crossings in DAFNE",
THPCH013,"A.Y. Molodozhentsev, M. Tomizawa, KEK, Ibaraki","Study of Particle Losses Mechanism for J-PARC Main Ring",
THPCH015,"X.Q. Yan, J.-E. Chen, J.X. Fang, Z.Y. Guo, PKU/IHIP, Beijing; R.A. Jameson, LANL, Los Alamos, New Mexico; Y.R. Lu, PKU/IHIP, Beijing","Matched and Equipartitioned Method for High-intensity RFQ Accelerators",
THPCH016,"Yu. Kazarinov, JINR, Dubna, Moscow Region","Transfer Matrix of Linear Focusing System in the Presence of Self-field of Intense Charged Particle Beam",
THPCH018,"E. Benedetto, E. Benedetto, Politecnico di Torino, Torino; G. Franchetti, GSI, Darmstadt; G. Rumolo, F. Zimmermann, CERN, Geneva","Resonance Trapping, Halo Formation and Incoherent Emittance Growth due to Electron Cloud",
THPCH019,"L. Neukermans, H. Burkhardt, CERN, Geneva; J. Resta-López, IFIC, Valencia","Halo and Tail Generation Studies for Linear Colliders",
THPCH023,"J.Z. Zhou, C. Chen, MIT/PSFC, Cambridge, Massachusetts","Vlasov Equilibrium of a Periodically Twisted Ellipse-shaped Charged-particle Beam in a Non-axisymmetric Periodic Magnetic Focusing Field",
THPCH024,"D. Sagan, Cornell University, Laboratory for Elementary-Particle Physics, Ithaca, New York","An Efficient Formalism for Simulating the Longitudinal Kick from Coherent Synchrotron Radiation",
THPCH025,"A.P. Shishlo, S.M. Cousineau, V.V. Danilov, S. Henderson, J.A. Holmes, M.A. Plum, ORNL, Oak Ridge, Tennessee","Electron Cloud Self-consistent Simulations for the SNS Ring",
THPCH026,"N.L. D'Imperio, BNL, Upton, Long Island, New York; O. Boine-Frankenheim, GSI, Darmstadt; A.U. Luccio, N. Malitsky, BNL, Upton, Long Island, New York","Parallel 3-D Space Charge Calculations in the Unified Accelerator Library",
THPCH027,"D. Trbojevic, L. Ahrens, J. Beebe-Wang, M. Blaskiewicz, J.M. Brennan, W.W. MacKay, G. Parzen, T. Roser, BNL, Upton, Long Island, New York","An Experimental Proposal to Study Heavy-ion Cooling in the AGS due to Beam Gas or the Intrabeam Scattering",
THPCH028,"J. Wei, BNL, Upton, Long Island, New York; S. Machida, CCLRC/RAL/ASTeC, Chilton, Didcot, Oxon; S. Ochi, H. Okamoto, HU/AdSM, Higashi-Hiroshima; A. Sessler, LBNL, Berkeley, California; Y. Yuri, JAEA, Takasaki, Takasaki","Crystalline Beams at High Energies",
THPCH031,"R.T. Dowd, M.J. Boland, G. LeBlanc, M.J. Spencer, Y.E. Tan, ASP, Clayton, Victoria","Impedance and Beam Stability Study at the Australian Synchrotron",
THPCH032,"R. Nagaoka, SOLEIL, Gif-sur-Yvette","Instability Studies Using Evaluated Wake Fields and Comparison with Observations at SOLEIL",
THPCH033,"R. Nagaoka, J.-C. Denard, M.-P. Level, SOLEIL, Gif-sur-Yvette","Recent Studies of Geometric and Resistive-wall Impedance at SOLEIL",
THPCH034,"A.M. Al-Khateeb, A.M. Al-Khateeb, Yarmouk, Irbid; O. Boine-Frankenheim, GSI, Darmstadt; W.M. Daqa, Yarmouk, Irbid; R.W. Hasse, I. Hofmann, GSI, Darmstadt","Transverse Coupling Impedances From Field Matching in a Smooth Resistive Cylindrical Pipe for Arbitrary Beam Energies",
THPCH035,"R.G. Heine, P. Hartmann, T. Weis, DELTA, Dortmund","Characterisation of the EU-HOM-damped Normal Conducting 500 MHz Cavity from the Beam Power Spectrum at DELTA",
THPCH036,"I. Zagorodnov, DESY, Hamburg; K.L.F. Bane, SLAC, Menlo Park, California","Wakefield Calculations for 3D Collimators",
THPCH037,"I. Zagorodnov, DESY, Hamburg; N. Solyak, Fermilab, Batavia, Illinois","Wakefields Effects of New ILC Cavity Shapes",
THPCH038,"E. Senicheva, A. Lehrach, D. Prasuhn, FZJ, Jülich","The PANDA Insertion Impedance in High Energy Storage Ring of FAIR",
THPCH039,"A.-S. Müller, I. Birkel, S. Casalbuoni, B. Gasharova, FZK, Karlsruhe; C. J. Hirschmugl, UWM, Milwaukee, Wisconsin; E. Huttel, Y.-L. Mathis, D.A. Moss, P. Wesolowski, FZK, Karlsruhe","Beam Studies with Coherent Synchrotron Radiation from Short Bunches in the ANKA Storage Ring",
THPCH040,"E. Wooldridge, B.D. Muratori, CCLRC/DL/ASTeC, Daresbury, Warrington, Cheshire","Linac Focusing and Beam Break Up for 4GLS",
THPCH041,"E. Wooldridge, CCLRC/DL/ASTeC, Daresbury, Warrington, Cheshire","Alternate Cavity Designs to Reduce BBU",
THPCH042,"S.A. Pande, R. Bartolini, R. T. Fielder, M. Jensen, Diamond, Oxfordshire","Numerical Estimations of Wakefields and Impedances for Diamond Collimators",
THPCH043,"P. Craievich, S. Di Mitri, ELETTRA, Basovizza, Trieste; A. Zholents, LBNL, Berkeley, California","Jitter Studies for the FERMI@ELETTRA Linac",
THPCH044,"S. Di Mitri, P. Craievich, ELETTRA, Basovizza, Trieste","Beam Break-up Instability in the FERMI@ELETTRA Linac",
THPCH045,"E. Karantzoulis, M. Lonza, ELETTRA, Basovizza, Trieste","Transverse Head-tail Modes Elimination with Negative Chromaticity and the Transverse Multi-bunch Feedback System at ELETTRA",
THPCH047,"T. Demma, S. Petracca, U. Sannio, Benevento; F. Ruggiero, G. Rumolo, F. Zimmermann, CERN, Geneva","Maps for Electron Clouds: Application to LHC",
THPCH048,"S.H. Hisao, A. Ando, S. Hashimoto, T. Matsubara, Y. Miyahara, Y. Shoji, NewSUBARU/SPring-8, Laboratory of Advanced Science and Technology for Industry (LASTI), Hyogo","Transverse Coupled Bunch Instability Driven by 792-MHz Cavity HOM in NewSUBARU Electron Storage Ring",
THPCH049,"X.W. Dong, S.-I. Kurokawa, K. Ohmi, KEK, Ibaraki","Simulation Study of Transverse Coupled-bunch Instabilities due to Electron Cloud in KEKB LER",
THPCH050,"J.W. Flanagan, H. Fukuma, Y. Funakoshi, S. Hiramatsu, T. Ieiri, H. Ikeda, K. Ohmi, K. Oide, M. Tobiyama, KEK, Ibaraki","Further Studies on Betatron Sidebands due to Electron Clouds",
THPCH051,"H. Fukuma, J.W. Flanagan, T. Kawamoto, T. Morimoto, K. Oide, M. Tobiyama, KEK, Ibaraki; F. Zimmermann, CERN, Geneva","The Effect of the Solenoid Field in Quadrupole Magnets on the Electron Cloud Instability in the KEKB LER",
THPCH052,"T. Miyajima, K. Harada, Y. Kobayashi, S. Nagahashi, KEK, Ibaraki","Dependence of Transverse Instabilities on Amplitude Dependent Tune Shifts",
THPCH053,"E. Syresin, JINR, Dubna, Moscow Region; K. Noda, NIRS, Chiba-shi; S. Shibuya, AEC, Chiba; T. Uesugi, KEK, Ibaraki","Numerical and Experimental Study of Cooling-stacking Injection in HIMAC Synchrotron",
THPCH054,"Y. Shobuda, JAEA/J-PARC, Tokai-Mura, Naka-Gun, Ibaraki-Ken; Y.H. Chin, KEK, Ibaraki; S. Machida, CCLRC/RAL/ASTeC, Chilton, Didcot, Oxon; F. Noda, JAEA/J-PARC, Tokai-Mura, Naka-Gun, Ibaraki-Ken; K. Takata, T. Toyama, KEK, Ibaraki","SIMPSONS with Wake Field Effects",
THPCH057,"E. Métral, G. Arduini, T. Bohl, H. Burkhardt, G. Rumolo, CERN, Geneva; B. Spataro, INFN/LNF, Frascati (Roma)","The Fast Vertical Single-bunch Instability after Injection into the CERN Super Proton Synchrotron",
THPCH058,"E. Métral, G. Rumolo, CERN, Geneva","Simulation Study on the Beneficial Effect of Linear Coupling for the Transverse Mode Coupling Instability in the CERN Super Proton Synchrotron",
THPCH059,"E. Métral, F. Caspers, M. Giovannozzi, A. Grudiev, T. Kroyer, L. Sermeus, CERN, Geneva","Kicker Impedance Measurements for the Future Multi-turn Extraction of the CERN Proton Synchrotron",
THPCH060,"G. Rumolo, E. Métral, E.N. Shaposhnikova, CERN, Geneva","Simulation Study on the Energy Dependence of the TMCI Threshold in the CERN-SPS",
THPCH061,"F. Zimmermann, G. Arduini, R.W. Assmann, H. Burkhardt, F. Caspers, M. Gasior, O.R. Jones, T. Kroyer, E. Métral, S. Redaelli, G. Robert-Demolaize, F. Roncarolo, G. Rumolo, R.J. Steinhagen, J. Wenninger, CERN, Geneva","Tune Shift Induced by Nonlinear Resistive Wall Wake Field of Flat Collimator",
THPCH062,"P.J. Chou, C.H. Kuo, C.-C. Kuo, M.-H. Wang, NSRRC, Hsinchu","Collective Effects in the Storage Ring of Taiwan Photon Source",
THPCH064,"K.A. Heinemann, G. Bassi, J.A. Ellison, UNM, Albuquerque, New Mexico","Comparison of Three CSR Radiation Powers for Particle Bunches and Line Charges",
THPCH065,"A.V. Burov, V.A. Lebedev, Fermilab, Batavia, Illinois","Suppression of Transverse Instability by a Digital Damper",
THPCH066,"S. De Santis, LBNL, Berkeley, California; R. Bartolini, Diamond, Oxfordshire; J.M. Byrd, LBNL, Berkeley, California","Transient Beam Loading in the DIAMOND Storage Ring",
THPCH067,"S. De Santis, LBNL, Berkeley, California; A. Aryshev, KEK, Ibaraki; J.M. Byrd, LBNL, Berkeley, California; T. Naito, KEK, Ibaraki; M.C. Ross, SLAC, Menlo Park, California; J. Urakawa, KEK, Ibaraki","Coherent Synchrotron Radiation Studies at the Accelerator Test Facility",
THPCH069,"Y. Tang, ATK-MR, Albuquerque, New Mexico; K.C.D. Chan, C. Ekdahl, LANL, Los Alamos, New Mexico; T.P. Hughes, Voss Scientific, Albuquerque, New Mexico","BBU Calculations for Beam Stability Experiments on DARHT-2",
