FOAA001,"M.A.C. Cummings, Northern Illinois University, DeKalb, Illinois","New Technology in Hydrogen Absorbers for Muon Cooling Channels",
RPAE060,"H. Nishimura, W.E. Byrne, LBNL, Berkeley, California","Simulation and Automation of the EEBI Test at ALS",
RPAE061,"H. Nishimura, R.J. Donahue, D. Robin, C. Steier, LBNL, Berkeley, California","Beam Loss Simulation Studies for ALS Top-Off Operation",
RPAE062,"H. Nishimura, T. Scarvie, LBNL, Berkeley, California","Estimation of the Effective Magnet Misalignments of the ALS Storage Ring",
RPAE065,"D. Robin, J.M. Byrd, P. Fischer, P.A. Heimann, D.H. Kim, S. Kwiatkowski, D. Li, F. Sannibale, C. Steier, W. Wan, W. Wittmer, A. Zholents, LBNL, Berkeley, California","Generation of Picosecond X-Ray Pulses in the ALS Using RF Orbit Deflection",
RPAE066,"J.M. Byrd, Z. Hao, M.C. Martin, D. Robin, F. Sannibale, R.W. Schoenlein, A. Zholents, M.S. Zolotorev, LBNL, Berkeley, California","Terahertz Coherent Synchrotron Radiation from Femtosecond Laser Modulation of the Electron Beam at the Advanced Light Source",
RPAE067,"G.D. Stover, K.M. Baptiste, W. Barry, J. Gath, J. Julian, S. Kwiatkowski, S. Prestemon, R.D. Schlueter, D. Shuman, C. Steier, LBNL, Berkeley, California","Investigations, Experiments, and Implications for Using Existing Pulse Magnets for 'topoff' Operation at the Advanced Light Source",
RPAE068,"D. Wang, dc. Cheever, M. Farkhondeh, W.A. Franklin, W. Graves, E. Ihloff, MIT, Middleton, Massachusetts; B. Podobedov, BNL, Upton, Long Island, New York; C. Tschalaer, D. Wang, D. Wang, F. Wang, T. Zwart, J. van der Laan, MIT, Middleton, Massachusetts","Very Short Bunches in MIT-Bates South Hall Ring",
RPAE069,"F. Wang, MIT, Middleton, Massachusetts; G.L. Carr, BNL, Upton, Long Island, New York; dc. Cheever, M. Farkhondeh, W.A. Franklin, W. Graves, E. Ihloff, MIT, Middleton, Massachusetts; B. Podobedov, BNL, Upton, Long Island, New York; F. Sannibale, LBNL, Berkeley, California; C. Tschalaer, D. Wang, D. Wang, T. Zwart, J. van der Laan, MIT, Middleton, Massachusetts","Terahertz Coherent Synchrotron Radiation in the MIT-Bates South Hall Ring",
RPAE070,"K. Jacobs, J. Bisognano, R.A. Bosch, D. Eisert, M.V. Fisher, M.A. Green, R.G. Keil, K. J. Kleman, R.A. Legg, G.C. Rogers, J.P. Stott, UW-Madison/SRC, Madison, Wisconsin","Recent Developments at Aladdin",
RPAE071,"M. Borland, L. Emery, ANL, Argonne, Illinois","Touschek Lifetime and Undulator Damage in the Advanced Photon Source",
RPAE072,"M. Borland, V. Sajaev, ANL, Argonne, Illinois","Simulations of X-Ray Slicing and Compression Using Crab Cavities in the Advanced Photon Source",
RPAE073,"W. Guo, M. Borland, K.C. Harkay, V. Sajaev, B.X. Yang, ANL, Argonne, Illinois","Generating Picosecond X-Ray Pulses with Beam Manipulation in Synchrotron Light Sources",
RPAE074,"Y.K. Wu, M.D. Busch, M. Emamian, J.F. Faircloth, J. Gustavsson, S.M. Hartman, C. Howell, M. Johnson, J. Li, S. Mikhailov, O. Oakeley, J. Patterson, M. Pentico, V. Popov, V. Rathbone, G. Swift, P.W. Wallace, P. Wang, DU/FEL, Durham, North Carolina","Recommissioning of Duke Storage Ring with a HOM-Damped RF Cavity and a New Straight Section Lattice for FELs",
RPAE076,"H. Xu, H. He, W. Li, G. Liu, L. Liu, S. Shang, B. Sun, L. Wang, USTC/NSRL, Hefei, Anhui","The Commission of Hefei Light Source After Reconstruction",
RPAE077,"H. Zhang, USTC/NSRL, Hefei, Anhui; Y.L. Li, DESY, Hamburg; L. Wang, USTC/NSRL, Hefei, Anhui","A Magnetic Field Model for the Undulator in HLS",
RPAE078,"T. Tomimasu, Y. Iwasaki, S. Koda, Saga Synchrotron Light Source, Industry Promotion Division, Saga City; H. Ohgaki, Kyoto IAE, Kyoto; Y. Takabayashi, Saga Synchrotron Light Source, Industry Promotion Division, Saga City; H. Toyokawa, M.Y. Yasumoto, AIST, Ibaraki; K. Yoshida, Saga Synchrotron Light Source, Industry Promotion Division, Saga City","Commissioning of SAGA Light Source",
RPAE080,"T. Scarvie, W. Barry, M.J. Chin, D. Robin, F. Sannibale, C. Steier, LBNL, Berkeley, California","Diagnostic Systems Plan for the Advanced Light Source Top-Off Upgrade",
RPAE082,"C. Steier, D. Robin, F. Sannibale, R.W. Schoenlein, W. Wan, W. Wittmer, A. Zholents, LBNL, Berkeley, California","The New Undulator Based fs-Slicing Beamline at the ALS",
RPAE084,"S. Friis-Nielsen, S.P. Møller, Danfysik A/S, Jyllinge","Beam Dynamics Aspects of the ASP Booster",
RPAE085,"C.J. Bocchetta, D. Bulfone, G. D'Auria, G. De Ninno, B. Diviacco, A. Fabris, R. Fabris, M. Ferianis, A. Gambitta, F. Iazzourene, E. Karantzoulis, M. Lonza, F.M. Mazzolini, M. Svandrlik, L. Tosi, R. Visintini, D.Z. Zangrando, ELETTRA, Basovizza, Trieste","ELETTRA Present and Future Upgrades",
RPAE086,"S. Hashimoto, A. Ando, University of Hyogo, Laboratory of Advanced Science and Technology for Industry (LASTI), Kamigori-cho, Ako-gun, Hyogo; Y. Shoji, LASTI, Ako-gun, Hyogo; T. Takahashi, KURRI, Osaka","Observation of Coherent Synchrotron Radiation at NewSUBARU",
RPAE087,"D. Einfeld, E. Al-Dmour, J. Campmany, M. Muñoz, M. Pont, F. Pérez, CELLS, Bellaterra (Cerdanyola del Vallès)","Progress of the Synchrotron Light Source ALBA",
RPAP002,"P. Fischer, IAP, Frankfurt-am-Main; J. Haeuser, NTG Neue Technologien GmbH  Co KG, Gelnhausen; A. Schempp, IAP, Frankfurt-am-Main","A CW RFQ Accelerator for Deuterons",
RPAP004,"J. Thibus, A. Schempp, IAP, Frankfurt-am-Main","Simulations for the Frankfurt Funneling Experiment",
RPAP006,"K. Dobashi, NIRS, Chiba-shi; M. Akemoto, KEK, Ibaraki; F. Ebina, A. Fukasawa, UTNL, Ibaraki; H. Hayano, T. Higo, KEK, Ibaraki; T. Kaneyasu, H. Ogino, F. Sakamoto, M. Uesaka, UTNL, Ibaraki; J.U. Urakawa, KEK, Ibaraki; Y. Yamamoto, UTNL, Ibaraki","X-Band Linac Beam-Line for Medical Compton Scattering X-Ray Source",
RPAP007,"Y. Iwata, NIRS, Chiba-shi; Y.F. Fujii, SHI, Tokyo; T. Fujimoto, AEC, Chiba; T. Fujisawa, T. Furukawa, S. H. Hojo, T. Honma, M. Kanazawa, NIRS, Chiba-shi; V.V. Kapin, MEPhI, Moscow; T. Mitsumoto, SHI, Tokyo; N. M. Miyahara, T. Murakami, M. Muramatsu, K. Noda, H. Ogawa, NIRS, Chiba-shi; H.O. Ogawa, AEC, Chiba; M. Torikoshi, NIRS, Chiba-shi; H. Tsutsui, SHI, Tokyo; S. Yamada, K. Yamamoto, NIRS, Chiba-shi","Alternating-Phase-Focused Linac with Interdigital H-Mode Structure for Medical Injectors",
RPAP008,"M. Kumada, NIRS, Chiba-shi; B.I. Grishanov, E.B. Leivichev, V.V. Parkhomchuk, F.V. Podgorny, S. Rastigeev, V.B. Reva, A.N. Skrinsky, V.A. Vostrikov, BINP SB RAS, Novosibirsk","The CBS--The Most Cost Effective and High Performance Carbon Beam Source Dedicated for a New Generation Cancer Therapy",
RPAP009,"E. Takada, NIRS, Chiba-shi","Present Status of HIMAC and Carbon Ion Therapy",
RPAP010,"Y. Yoshida, T. Kondo, J. Yang, ISIR, Osaka","Development of Femtosecond and Attosecond Pulse Radiolysis by Using Laser Photocathode RF Gun S-Band Electron Linac",
RPAP011,"T. Saito, Y. Hama, RISE, Tokyo; H. Hayano, KEK, Ibaraki; K. Hidume, RISE, Tokyo; S. Kashiwagi, ISIR, Osaka; R. Kuroda, AIST, Tsukuba, Ibaraki; S. Minamiguchi, A. Oshima, D. Ueyama, RISE, Tokyo; J.U. Urakawa, KEK, Ibaraki; M. Washio, RISE, Tokyo","Technical Development of Profile Measurement for the Soft X-Ray Via Compton Backward Scattering",
RPAP012,"M. Uesaka, UTNL, Ibaraki; K. Dobashi, NIRS, Chiba-shi; T. Kaneyasu, UTNL, Ibaraki; M. Torikoshi, NIRS, Chiba-shi","Dual Energy X-Ray CT by Compton Scattering Hard X-Ray Source",
RPAP013,"S.-K. Lee, B.H. Choi, K. R. Kim, LHR. Lee, B.-S. Park, KAERI, Daejon","Characteristic Experimentations of Degrader and Scatterer at MC-50 Cyclotron",
RPAP014,"B.-S. Park, B.H. Choi, K. R. Kim, S.-K. Lee, KAERI, Daejon","Uniform Irradiation Systems Using a Rotatable Stage for Test Facilities of PEFP",
RPAP015,"M.A. Tiunov, V. Auslender, M.M. Karliner, G.I. Kuznetsov, I. Makarov, A.D. Panfilov, V.V. Tarnetsky, BINP SB RAS, Novosibirsk","Modeling of Internal Injection and Beam Dynamics for High Power RF Accelerator",
RPAP016,"V.O. Tkachenko, V. Auslender, V.G. Cheskidov, G.I. Korobeynikov, G.I. Kuznetsov, A.N. Lukin, I. Makarov, G. Ostreiko, A.D. Panfilov, A. Sidorov, V.V. Tarnetsky, M.A. Tiunov, BINP SB RAS, Novosibirsk","High Power Electron Accelerator Prototype",
RPAP017,"V. Auslender, A.A. Bryazgin, V.G. Cheskidov, B.L. Faktorovich, V. Gorbunov, I.V. Gornakov, V.E. Nekhaev, A.D. Panfilov, A.V. Sidorov, V.O. Tkachenko, A.F.A. Tuvik, L.A. Voronin, BINP SB RAS, Novosibirsk","Industrial Electron Accelerators Type ILU",
RPAP018,"V.K. Grishin, MSU, Moscow","Identification of Nano-Objects in Substances by Using of X-Ray Electron Radiation",
RPAP020,"E. Keil, CERN, Geneva; A. Sessler, LBNL, Berkeley, California; D. Trbojevic, BNL, Upton, Long Island, New York","Fixed Field Alternating Gradient Accelerators (FFAG) for Fast Hadron Cancer Therapy",
RPAP021,"F.E. Merrill, LANL, Los Alamos, New Mexico; K. Folkman, F. Harmon, A.W. Hunt, B. King, ISU, Pocatello, Idaho; C.L. Morris, LANL, Los Alamos, New Mexico","A Portable Electron Radiography System",
RPAP022,"T.-S. F. Wang, J. T. Kwan, LANL, Los Alamos, New Mexico","A Study of Storage Ring Requirements for an Explosive Detection System Using NRA Method",
RPAP023,"J.W. Staples, LBNL, Berkeley, California; W. Chou, Fermilab, Batavia, Illinois; R. Keller, LBNL, Berkeley, California; P.N. Ostroumov, ANL, Argonne, Illinois; A. Sessler, LBNL, Berkeley, California","RF-Based Accelerators for HEDP Research",
RPAP024,"F.W. Meyer, M.E. Bannister, J.W. Hale, ORNL, Oak Ridge, Tennessee; D. Hitz, CEA Grenoble, Grenoble; J.W. Johnson, ORNL, Oak Ridge, Tennessee","The ORNL Multicharged Ion Research Facility (MIRF) High Voltage Platform Project",
RPAP025,"M. Hernandez, H. Deruyter, Accuray, Inc, Sunnyvale, California; A.V. Mishin, A.J. Saverskiy, ASE, Billerica, Massachusetts; D. Skowbo, R.R. Smith, Accuray, Inc, Mountain View, California","A 7MeV S-Band 2998MHz Variable Pulse Length Linear Accelerator System",
RPAP027,"A.J. Saverskiy, H. Deruyter, M. Hernandez, A.V. Mishin, D. Skowbo, ASE, Billerica, Massachusetts","Portable X-Band Linear Electron Accelerators for Radiographic Applications",
RPAP032,"K. Endo, K. Egawa, Z. Fang, KEK, Ibaraki; S. Yamanaka, NIRS, Chiba-shi","Hardware Tracking Related to Compact Medical Pulse Synchrotron",
RPAP033,"A. Doyuran, R.J. England, C. Joshi, J. Lim, J.B. Rosenzweig, S. Tochitsky, G. Travish, O. Williams, UCLA, Los Angeles, California","Investigation of X-Ray Harmonics of the Polarized Inverse Compton Scattering Experiment at UCLA",
RPAP034,"I.S. Guk, NSC/KIPT, Kharkov; J.I.M. Botman, TUE, Eindhoven; A. Dovbnya, S.G. Kononenko, F.A. Peev, A.S. Tarasenko, NSC/KIPT, Kharkov; M.J. Van der Wiel, TUE, Eindhoven","Use Recirculator quot;SALOquot; in the Mode of the Neutron Source",
RPAP035,"T. Webb, IAC, Pocatello; R. Assink, Sandia National Laboratories, Albuquerque, New Mexico; W. Beezhold, ISU, Pocatello, Idaho; L.C. DeVeaux, F. Harmon, J.E. Petrisko, R.J. Spaulding, IAC, Pocatello","Photonuclear and Radiation Effects Testing with a Refurbished 20 MeV Medical Electron Linac",
RPAP036,"L. Auditore, R.C. Barnà, D. De Pasquale, U. Emanuele, INFN  Messina University, S. Agata, Messina; A. Italiano, INFN - Gruppo Messina, S. Agata, Messina; A. Trifirò, M. Trimarchi, INFN  Messina University, S. Agata, Messina","A Compact 5 MeV S-Band Electron Linac Based X-Ray Source for Industrial Radiography",
RPAP037,"V.G. Vaccaro, Naples University Federico II and INFN, Napoli; T. Clauser, Bari University, Science Faculty, Bari; C. De Martinis, D. Giove, INFN/LASA, Segrate (MI); S. Lanzone, Naples University Federico II, Napoli; M.R. Masullo, INFN-Napoli, Napoli; M. Mauri, INFN/LASA, Segrate (MI); A. Rainò, Bari University, Science Faculty, Bari; V. Variale, INFN-Bari, Bari","Study of the Dynamics in a Linac Booster for Proton Therapy in the 30-62 MeV Energy Range",
RPAP038,"T. Kondoh, T. Kozawa, S. Tagawa, T. Tomosada, J. Yang, Y. Yoshida, ISIR, Osaka","An Advantage of the Equivalent Velocity Spectroscopy for Femtsecond Pulse Radiolysis",
RPAP039,"J.J. Barnard, LLNL, Livermore, California; R.J. Briggs, SAIC, Alamo, California; D. A. Callahan, LLNL, Livermore, California; R.C. Davidson, PPPL, Princeton, New Jersey; A. Friedman, LLNL, Livermore, California; L. Grisham, PPPL, Princeton, New Jersey; E. P. Lee, LBNL, Berkeley, California; R.W. Lee, LLNL, Livermore, California; B. G. Logan, LBNL, Berkeley, California; C. L. Olson, Sandia National Laboratories, Albuquerque, New Mexico; D. Rose, ATK-MR, Albuquerque, New Mexico; P. Santhanam, A. Sessler, J.W. Staples, LBNL, Berkeley, California; M. Tabak, LLNL, Livermore, California; D.R. Welch, ATK-MR, Albuquerque, New Mexico; J.S. Wurtele, S. Yu, LBNL, Berkeley, California","Accelerator and Ion Beam Tradeoffs for Studies of Warm Dense Matter",
RPAP040,"K. Shinto, Graduate School of Engineering, Tohoku University, Sendai; O. Kaneko, NIFS, Gifu; S. Kitajima, Graduate School of Engineering, Tohoku University, Sendai; S. Kiyama, AIST, Tsukuba; M. Nishiura, NIFS, Gifu; M. Sasao, H. Sugawara, Takenaga, M. Takenaga, S. Takeuchi, Graduate School of Engineering, Tohoku University, Sendai; M. Wada, Doshisha University, Graduate School of Engineering, Kyoto","Design of a Fast Neutral He Beam System for Feasibility Study of Charge-Exchange Alpha-Particle Diagnostics in a Thermonuclear Fusion Reactor",
RPAP043,"P. Cameron, I. Ben-Zvi, W.C. Dawson, J. Kewisch, V. Litvinenko, Y. Luo, W.W. MacKay, C. Montag, J. Niedziela, V. Ptitsyn, T. Satogata, C. Schultheiss, V. Yakimenko, BNL, Upton, Long Island, New York","Beam-Based Alignment in the RHIC eCooling Solenoids",
RPAP044,"P. Oddo, A. Rusek, T. Russo, BNL, Upton, Long Island, New York","Linearizing the Response of the NSRL Synchronous Recycling-Integrators",
RPAP045,"M. Chung, R.C. Davidson, P. Efthimion, E.P. Gilson, R. M. Majeski, E. Startsev, PPPL, Princeton, New Jersey","Development of Laser-Induced Fluorescence Diagnostic for the Paul Trap Simulator Experiment",
RPAP046,"M.R.W. North, A.H. Kershaw, CCLRC/RAL/ISIS, Chilton, Didcot, Oxon","Real-Time Beam Loss Monitor Display Using FPGA Technology",
RPAP047,"J. Cao, Q. Ye, IHEP Beijing, Beijing","DAQ System of BPM and BCT for the BEPCII Linac",
RPAP048,"C.D. Long, Innovative Design, Knoxville, Tennessee; W. Blokland, D.J. Murphy, J. Pogge, J.D. Purcell, ORNL, Oak Ridge, Tennessee; M. Sundaram, University of Tennessee, Knoxville, Tennessee","SNS Diagnostics Timing Integration",
RPAP049,"Y. Yin, Y.Y. Labs, Inc., Fremont, California","Beam Diagnostics with Optical Fiber Optics",
RPAT001,"C. Gabor, H. Klein, O. Meusel, IAP, Frankfurt-am-Main; J. Pozimski, Imperial College of Science and Technology, Department of Physics, London; U. Ratzinger, IAP, Frankfurt-am-Main","Experimental Results of a Non-Destructive Emittance Measurement Device for H- Beams",
RPAT002,"M. Re, G.A.P. Cirrone, L. Cosentino, G. Cuttone, P. Finocchiaro, INFN/LNS, Catania; A. Hermanne, VUB, Brussels; P.A. Lojacono, INFN/LNS, Catania; Y.J. Ma, CIAE, Beijing; H. Thienpont, J. Van Erps, M. Vervaeke, B. Volckaerts, P. Vynck, VUB, Brussels","Production of Inorganic Thin Scintillating Films for Ion Beam Monitoring Devices",
RPAT005,"T. Toyama, D.A. Arakawa, Y. Hashimoto, KEK, Ibaraki; N. Hayashi, J. Kishiro, JAERI/J-PARC, Tokai-Mura, Naka-Gun, Ibaraki-Ken; S. Lee, T. Miura, S. Muto, KEK, Ibaraki; R. Toyokawa, JAERI/J-PARC, Tokai-Mura, Naka-Gun, Ibaraki-Ken","Beam Diagnostics for the J-PARC Main Ring Synchrotron",
RPAT006,"S.-H. Han, Y.-S. Cho, KAERI, Daejon","Design and Initial Tests of a Gas Scattering Energy Monitor in the PEFP RFQ and DTL",
RPAT007,"J.H. Park, PAL, Pohang, Kyungbuk; Y.-S. Cho, B.H. Choi, S.-H. Han, KAERI, Daejon; J.Y. Huang, W.H. Hwang, Y.W. Parc, S.J. Park, PAL, Pohang, Kyungbuk","Status of Beam Diagnostic Systems for the PEFP",
RPAT008,"I.H. Yu, PAL, Pohang, Kyungbuk; Y.-S. Cho, KAERI, Daejon; D.T. Kim, S.-C. Kim, I.-S. Park, S.J. Park, PAL, Pohang, Kyungbuk","Prototype Digital Beam Position and Phase Monitor for the 100-MeV Proton Linac of PEFP",
RPAT009,"B. Ashmanskas, S. U. Hansen, T. Kiper, D.W. Peterson, Fermilab, Batavia, Illinois","FPGA-Based Instrumentation for the Fermilab Antiproton Source",
RPAT011,"G.I. Cancelo, E. James, S.A. Wolbers, Fermilab, Batavia, Illinois","Digital Signal Processing the Tevatron BPM Signals",
RPAT012,"J. Ning, C.-Y. Tan, Fermilab, Batavia, Illinois","A Hardware Transverse Beam Frequency Response Simulator",
RPAT013,"S. Pordes, J.L. Crisp, B.J. Fellenz, R.H. Flora, A. Para, A.V. Tollestrup, Fermilab, Batavia, Illinois","Signal Processing for Longitudinal Parameters of the Tevatron Beam",
RPAT015,"J.-P. Carneiro, S. U. Hansen, A. Ibrahim, V.D. Shiltsev, J. Steimel, R.C. Webber, Fermilab, Batavia, Illinois","First Results of a Digital Beam Phase Monitor at the Tevatron",
RPAT017,"R.C. Webber, Fermilab, Batavia, Illinois","Using Time Separation of Signals to Obtain Independent Proton and Antiproton Beam Position Measurements Around the Tevatron",
RPAT018,"R.K. Kutschke, J. Steimel, R.C. Webber, S.A. Wolbers, Fermilab, Batavia, Illinois","Simultaneous Position Measurements of Protons and Anti-Protons in the Tevatron",
RPAT019,"R. Merl, T. Spickermann, LANL, Los Alamos, New Mexico","Use of a Reconfigurable VME Module To Measure Beam Energy at the Los Alamos Proton Storage Ring",
RPAT022,"F.M. Bieniosek, S. Eylon, P.K. Roy, S. Yu, LBNL, Berkeley, California","Optical Faraday Cup for Heavy Ion Beams",
RPAT027,"C. Montag, L. Ahrens, P. Thieberger, BNL, Upton, Long Island, New York","Tomographic Measurement of Longitudinal Emittance Growth Due to Stripping Foils",
RPAT028,"T. Satogata, R. Calaga, P. Cameron, P. Cerniglia, J. Cupolo, A.J. Curcio, W.C. Dawson, C. Degen, J. Gullotta, J. Mead, R.J. Michnoff, T. Russo, R. Sikora, BNL, Upton, Long Island, New York","RHIC BPM System Modifications and Performance",
RPAT031,"M. Hu, R. H. Carcagno, J. Krider, E. Lorman, A. Marchionni, Y.M.P. Pischalnikov, S. Pordes, D. Slimmer, J. Wilson, J.R. Zagel, Fermilab, Batavia, Illinois","Beam Profile Measurement with Flying Wires at the Fermilab Recycler Ring",
RPAT032,"A. Jansson, M. Bowden, K. Bowie, A. Bross, R. Dysert, T. Fitzpatrick, R. Kwarciany, C. Lundberg, H. Nguyen, C.H. Rivetta, D. Slimmer, L. Valerio, J.R. Zagel, Fermilab, Batavia, Illinois","An Ionization Profile Monitor for the Tevatron",
RPAT033,"A. Jansson, P. Lebrun, J.T. Volk, Fermilab, Batavia, Illinois","Beta Function Measurement in the Tevatron Using Quadrupole Gradient Modulation",
RPAT035,"V.E. Scarpine, C.W. Lindenmeyer, Fermilab, Batavia, Illinois; A.H. Lumpkin, ANL, Argonne, Illinois; G. R. Tassotto, Fermilab, Batavia, Illinois","Development of an Optical Transition Radiation Detector for Profile Monitoring of Antiproton and Proton Beams at FNAL",
RPAT036,"R. Thurman-Keup, Fermilab, Batavia, Illinois; S. De Santis, LBNL, Berkeley, California; E. Lorman, T. Meyer, S. Pordes, Fermilab, Batavia, Illinois","Measurement of the Intensity of the Beam in the Abort Gap at the Tevatron Utilizing Synchrotron Light",
RPAT038,"R.J. Macek, A. A. Browman, TechSource, Santa Fe, New Mexico","Diagnostic for Electron Clouds Trapped in Quadrupoles",
RPAT039,"A.V. Aleksandrov, S. Assadi, S.M. Cousineau, V.V. Danilov, S. Henderson, ORNL, Oak Ridge, Tennessee; P.V. Logatchev, BINP SB RAS, Novosibirsk; M.A. Plum, ORNL, Oak Ridge, Tennessee; A.A. Starostenko, BINP SB RAS, Novosibirsk","Feasibility Study of Using an Electron Beam for Profile Measurements in the SNS Accumulator Ring",
RPAT040,"C. Deibele, ORNL, Oak Ridge, Tennessee; S.S. Kurennoy, LANL, Los Alamos, New Mexico","Matching BPM Stripline Electrodes to Cables and Electronics",
RPAT042,"M.P. Stockli, R.F. Welton, ORNL, Oak Ridge, Tennessee","Emittance Scanner Optimization for Low Energy Ion Beams",
RPAT043,"S. Sato, H. Akikawa, JAERI/LINAC, Ibaraki-ken; Z. Igarashi, M. Ikegami, N. Kamikubota, S. Lee, KEK, Ibaraki; T. Tomisawa, JAERI/LINAC, Ibaraki-ken; T. Toyama, KEK, Ibaraki; A. Ueno, JAERI/LINAC, Ibaraki-ken","Developments of the Calibration Tools for Beam Position Monitor at J-PARC Linac",
RPAT044,"S.E. Kopp, The University of Texas at Austin, Austin, Texas; B.B. Baller, S.C. Childress, R. Ford, D. Harris, Fermilab, Batavia, Illinois; D. Indurthy, The University of Texas at Austin, Austin, Texas; C.L.K. Kendziora, C.D. Moore, Fermilab, Batavia, Illinois; Z. Pavlovich, M. Proga, The University of Texas at Austin, Austin, Texas; G. R. Tassotto, Fermilab, Batavia, Illinois; R.M. Zwaska, The University of Texas at Austin, Austin, Texas","Segmented Foil SEM Grids at Fermilab",
RPAT045,"B. A. Aminov, CRE, Wuppertal; A. Geisler, ACCEL, Bergisch Gladbach; M. G. Getta, S. K. Kolesov, N. Pupeter, CRE, Wuppertal; T. Stephani, J. H. Timmer, ACCEL, Bergisch Gladbach","Beam Phase Detection for Proton Therapy Accelerators",
