FRXBCH01,"K.J. Peach, CCLRC/RAL/ASTeC, Chilton, Didcot, Oxon","Novel Ideas and Ramp;D for High Intensity Neutrino Beams",
TUPLT019,"A. Dolinskii, K. Beckert, P. Beller, B. Franzke, F. Nolden, M. Steck, GSI, Darmstadt","Nonlinear Effects Studies for a Large Acceptance Collector Ring",
TUPLT020,"P.J. Spiller, K. Blasche, P. Hülsmann, A. Kraemer, H. Ramakers, H.R. Sprenger, GSI, Darmstadt","High Intensity Uranium Operation in SIS18",
TUPLT021,"S. Neff, D.H. Hoffmann, R. Knobloch, TU Darmstadt, Darmstadt; C. Niemann, D. Penache, A. Tauschwitz, GSI, Darmstadt; S. Yu, LBNL, Berkeley, California","Heavy Ion Beam Transport in Plasma Channels",
TUPLT022,"B. Steiner, W.F.O. Müller, TEMF, Darmstadt; A. Richter, TU Darmstadt, Darmstadt; T. Weiland, TEMF, Darmstadt","Beam Dynamics Simulations at the S-DALINAC for the Optimal Position of Beam Energy Monitors",
TUPLT023,"G. Zschornack, TU Dresden, Dresden; S. Facsko, FZR, Dresden; F. Grossmann, U. Kentsch, Leybold Vacuum Dresden, Dresden; D. Kost, FZR, Dresden; S. Landgraf, TU Dresden, Dresden; W. Möller, FZR, Dresden; V.P. Ovsyannikov, M. Schmidt, Leybold Vacuum Dresden, Dresden; H. Tyrroff, FZR, Dresden; F. Ullmann, Leybold Vacuum Dresden, Dresden","A New Ion Beam Beam Facility for Slow Highly Charged Ions",
TUPLT024,"R. Becker, IAP, Frankfurt-am-Main; T. Hata, RLNR, Tokyo; T. Hattori, RIKEN, Saitama; N. Hayashizaki, RLNR, Tokyo; R.A. Jameson, IAP, Frankfurt-am-Main; H. Kashiwagi, RLNR, Tokyo; M. Okamura, A. Sakumi, RIKEN, Saitama; A. Schempp, IAP, Frankfurt-am-Main; K. Yamamoto, RLNR, Tokyo","A Comparison of High Current Ion Beam Matching from an Ion Source to a RFQ by Electrostatic and by Magnetic Lenses",
TUPLT025,"R. Becker, IAP, Frankfurt-am-Main; T. Hattori, RIKEN, Saitama; N. Hayashizaki, RLNR, Tokyo; R.A. Jameson, IAP, Frankfurt-am-Main; H. Kashiwagi, RLNR, Tokyo; M. Okamura, RIKEN/RARF/CC, Saitama; A. Schempp, IAP, Frankfurt-am-Main; K. Yamamoto, RIKEN/RARF/BPEL, Saitama","Matching of a C6+ Ion Beam from a Laser Ion Source to a RFQ",
TUPLT026,"M. Droba, O. Meusel, U. Ratzinger, K. Volk, IAP, Frankfurt-am-Main","High Current Ion Beams at Frankfurt University",
TUPLT027,"C.A. Kitegi, A. Bechtold, IAP, Frankfurt-am-Main; T. Beier, L. Dahl, C. Kozhuharov, GSI, Darmstadt; S. Minaev, ITEP, Moscow; W. Quint, GSI, Darmstadt; U. Ratzinger, A. Schempp, IAP, Frankfurt-am-Main; M. Steck, GSI, Darmstadt","Status of the HITRAP Decelerator Linac at GSI",
TUPLT028,"K.-U. Kuehnel, A. Schempp, IAP, Frankfurt-am-Main; C.P. Welsch, MPI-K, Heidelberg","Development of Finger Drift Tube Linacs",
TUPLT029,"A.C. Sauer, H. Deitinghoff, H. Klein, H. Liebermann, O. Meusel, H. Podlech, U. Ratzinger, R. Tiede, IAP, Frankfurt-am-Main","Status of the Superconducting D+-CH-DTL Design for IFMIF",
TUPLT030,"J. Thibus, A. Schempp, IAP, Frankfurt-am-Main","Numerical Simulations for the Frankfurt Funneling Experiment",
TUPLT032,"H. Zimmermann, U. Bartz, N. Mueller, A. Schempp, J. Thibus, IAP, Frankfurt-am-Main","The Frankfurt Funneling Experiment",
TUPLT033,"M. Pasini, D. Habs, O. Kester, LMU, München; T. Sieber, CERN, Geneva","RF Design of the MAFF IH-RFQ Power Resonator",
TUPLT034,"M. Pasini, LMU, München; A. Bechtold, IAP, Frankfurt-am-Main; D. Habs, O. Kester, LMU, München; A. Schempp, IAP, Frankfurt-am-Main","Beam Dynamics Studies for the Low Energy Section at MAFF",
TUPLT035,"F. Brinker, DESY, Hamburg","Online Calculation of the Beam Trajectory in the HERA Interaction Regions",
TUPLT036,"W. Decking, K. Balewski, DESY, Hamburg","Optimization of Low Emittance Lattices for PETRA III",
TUPLT037,"J. Keil, W. Decking, DESY, Hamburg","Dispersion Correction in HERA",
TUPLT038,"G.K. Sahoo, K. Balewski, W. Decking, Y.L. Li, DESY, Hamburg","Closed Orbit Correction and Orbit Stabilisation Scheme for the 6 GEV Synchrotron Light Source PETRA III",
TUPLT039,"C.P. Welsch, MPI-K, Heidelberg; C. Glaessner, IAP, Frankfurt-am-Main; M. Grieser, J. Ullrich, MPI-K, Heidelberg","An Electrostatic Quadrupole Doublet with an Integrated Steerer",
TUPLT040,"C.P. Welsch, J. Crespo López-Urrutia, M. Grieser, D. Orlov, C.D. Schroeter, D. Schwalm, J. Ullrich, MPI-K, Heidelberg; X. Urbain, UCL CRC, Louvain-la-Neuve; A. Wolf, MPI-K, Heidelberg; D. Zajfman, Weizmann Institute of Science, Physics, Rehovot; R. von Hahn, MPI-K, Heidelberg","CSR - a Cryogenic Storage Ring at MPI-K",
TUPLT041,"C.P. Welsch, M. Grieser, D. Orlov, J. Ullrich, A. Wolf, R. von Hahn, MPI-K, Heidelberg","Ultra-low Energy Antiprotons at FLAIR",
TUPLT042,"C.P. Welsch, MPI-K, Heidelberg; R. Doerner, IKF, Frankfurt-am-Main; C. Glaessner, K.-U. Kuehnel, A. Schempp, IAP, Frankfurt-am-Main; H. Schmidt-Boecking, IKF, Frankfurt-am-Main; J. Ullrich, MPI-K, Heidelberg","Ring of FIRE",
TUPLT043,"B. Lorentz, U. Bechstedt, J. Dietrich, R. Eichhorn, R. Gebel, A. Lehrach, R. Maier, D. Prasuhn, A. Schnase, H. Schneider, R. Stassen, H. Stockhorst, R. Tölle, FZJ/IKP, Jülich","Status of the Cooler Synchrotron COSY-Juelich",
TUPLT044,"A. Bogdanov, R. Maier, Y. Senichev, FZJ/IKP, Jülich","Delta-T Procedure for Superconducting Linear Accelerator",
TUPLT045,"A. Bogdanov, R. Maier, Y. Senichev, FZJ/IKP, Jülich","Separatrix Formalism Applied to Linacs Accelerating Particles with Different Charge to Mass Ratio",
TUPLT046,"A. Lehrach, U. Bechstedt, J. Dietrich, R. Eichhorn, R. Gebel, B. Lorentz, R. Maier, D. Prasuhn, FZJ/IKP, Jülich; A. Schnase, JAERI/J-PARC, Tokai-Mura, Naka-Gun, Ibaraki-Ken; H. Schneider, R. Stassen, H. Stockhorst, R. Tölle, FZJ/IKP, Jülich","Luminosity Considerations for Internal and External Experiments at COSY",
TUPLT047,"R. Stassen, R. Eichhorn, F.M. Esser, B. Laatsch, R. Maier, G. Schug, R. Tölle, FZJ/IKP, Jülich","First Results of Pulsed Superconducting Half-wave Resonators",
TUPLT049,"E. Zaplatin, W. Braeutigam, R. Maier, M. Pap, M. Skrobucha, R. Stassen, R. Tölle, FZJ/IKP, Jülich","Triple-spoke Cavities in FZJ",
TUPLT050,"M. Muñoz, D. Einfeld, CELLS, Bellaterra (Cerdanyola del Vallès)","Lattice for CELLS",
TUPLT051,"R. Cee, W. Mittig, A.C.C. Villari, GANIL, Caen","Beam Optical Design of a Multi Charge Ion Recirculator for Charge Breeders",
TUPLT052,"F. Chautard, J.L. Baelde, C. Barue, C. Berthe, A. Colombe, L. David, P. Dolegieviez, B. Jacquot, C. Jamet, P. Leherissier, R. Leroy, M.H. Moscatello, E. Petit, A. Savalle, G. Sénécal, F. Varenne, GANIL, Caen","GANIL Status Report",
TUPLT053,"P.-Y. Beauvais, CEA/DSM/DAPNIA, Gif-sur-Yvette","Recent Evolutions in the Design of the French High Intensity Proton Injector (IPHI)",
TUPLT054,"P.-E. Bernaudin, P. Bosland, S. Chel, G. Devanz, P. Hardy, F. Michel, P. de Girolamo, CEA/DSM/DAPNIA, Gif-sur-Yvette","Design of the Low-beta, Quarter-wave Resonator and its Cryomodule for the SPIRAL 2 Project",
TUPLT056,"P. Sortais, J.-C. Curdy, A. Lachaize, T. Lamy, A. Ponton, P. Sole, T. Thuillier, J.-L. Vieux-Rochaz, D. Voulot, LPSC, Grenoble","ECRIS Development for the SPIRAL II Project",
TUPLT057,"J.-L. Biarrotte, IPN, Orsay; M. Novati, P. Pierini, INFN/LASA, Segrate (MI); H. Safa, D. Uriot, CEA/DSM/DAPNIA, Gif-sur-Yvette","Beam Dynamics Studies for the Fault Tolerance Assessment of the PDS-XADS Linac Design",
TUPLT058,"T. Junquera, IPN, Orsay; P. Balleyguier, CEA/DAM, Bruyères-le-Châtel; J.-L. Biarrotte, S. Blivet, S. Bousson, C. Commeaux, IPN, Orsay; M. Fruneau, Y. Gomez-Martinez, LPSC, Grenoble; G. Olry, H. Saugnac, IPN, Orsay; E. Vernay, F. Vezzu, LPSC, Grenoble","High Intensity Linac Driver for the SPIRAL-2 Project : Design of Superconducting 88 MHz Quarter Wave Resonators (beta 0.12), Power Couplers and Cryomodules",
TUPLT059,"F. Iazzourene, S. Di Mitri, E. Karantzoulis, L. Tosi, ELETTRA, Basovizza, Trieste","Evolution of Optical Asymmetries in the Elettra Storage Ring",
TUPLT060,"M. Menna, G. Cuttone, M. Re, INFN/LNS, Catania","Production of Radioactive Ion Beams for the EXCYT Facility",
TUPLT061,"G. Stancari, INFN-Ferrara, Ferrara; S.N. Atutov, UNIFE, Ferrara; V. Biancalana, A. Burchianti, UNISI, Siena; R. Calabrese, INFN-Ferrara, Ferrara; L. Corradi, A. Dainelli, INFN/LNL, Legnaro, Padova; V. Guidi, UNIFE, Ferrara; A. Khanbekyan, UNISI, Siena; B. Mai, INFN-Ferrara, Ferrara; C. Marinelli, E. Mariotti, UNISI, Siena; P. Minguzzi, UNIPI, Pisa; L. Moi, UNISI, Siena; S. Sanguinetti, UNIPI, Pisa; G. Stancari, L. Tomassetti, INFN-Ferrara, Ferrara; S. Veronesi, UNISI, Siena","Production and Transport of Radioactive Francium for Magneto-optical Trapping",
TUPLT062,"C. Ronsivalle, ENEA C.R. Frascati, Frascati (Roma); S. Monti, ENEA C.R. Rome, Rome; L. Picardi, ENEA C.R. Frascati, Frascati (Roma); F. Troiani, ENEA C.R. Rome, Rome","Design of the Proton Beam Line for the Trade Experiment",
TUPLT063,"C. Vicario, INFN/LNF, Frascati (Roma); I. Boscolo, Universita' degli Studi di Milano, MILANO; S. Cialdi, A.F. Flacco, INFN-Milano, Milano; A. Ghigo, INFN/LNF, Frascati (Roma); M. Nisoli, Politecnico/Milano, Milano; M. Petrarca, INFN-Roma, Roma; G. Sansone, S. Stagira, Politecnico/Milano, Milano; C. Vozzi, Universita' degli Studi di Milano, MILANO","Laser Temporal Pulse Shaping Experiment For SPARC Photoinjector",
TUPLT065,"M. Cavenago, INFN/LNL, Legnaro, Padova; T. Kulevoy, S. Petrenko, ITEP, Moscow","Beams from RF Ovens and ECR Ion Sources",
TUPLT066,"M. Marchetto, M. Comunian, E. Fagotti, A. Palmieri, A. Pisent, INFN/LNL, Legnaro, Padova","Study of a High-current 176 MHz RFQ as a Deuteron Injector for the SPES Project",
TUPLT069,"M.R. Masullo, INFN-Napoli, Napoli; A. Andreone, E. Di Gennaro, Naples University Federico II, Napoli; F. Francomacaro, Naples University Federico II and INFN, Napoli; G. Keppel, INFN/LNL, Legnaro, Padova; G. Lamura, Naples University Federico II, Napoli; V. Palmieri, INFN/LNL, Legnaro, Padova; M. Panniello, Naples University Federico II and INFN, Napoli; D. Tonini, INFN/LNL, Legnaro, Padova; V.G. Vaccaro, Naples University Federico II and INFN, Napoli","Approaching to a Mono-modal Accelerating Cavity based on Photonic Band-gap Concepts",
TUPLT070,"V.G. Vaccaro, Naples University Federico II and INFN, Napoli; D. Capasso, Naples University Federico II, Napoli; T. Clauser, INFN-Bari, Bari; A. D'Elia, Naples University Federico II and INFN, Napoli; C. De Martinis, D. Giove, INFN/LASA, Segrate (MI); S. Lanzone, Naples University Federico II, Napoli; M.R. Masullo, Naples University Federico II and INFN, Napoli; M. Mauri, INFN/LASA, Segrate (MI); A. Rainò, INFN-Bari, Bari; V. Variale, Bari University, Science Faculty, Bari","Study of a Linac Booster for Proton Therapy in the 30-62 MeV Energy Range",
TUPLT071,"A. Trifirò, L. Auditore, R.C. Barnà, D. De Pasquale, A. Italiano, M. Trimarchi, INFN - Gruppo Messina, S. Agata, Messina","A 5 MeV Electron Linac for Radiation Processing",
TUPLT072,"M. Yamamoto, JAERI, Chiba-ken; S. Anami, E. Ezura, K. Hara, Y. Hashimoto, KEK, Ibaraki; M. Nomura, JAERI/J-PARC, Tokai-Mura, Naka-Gun, Ibaraki-Ken; C. Ohmori, KEK, Ibaraki; A. Schnase, JAERI/J-PARC, Tokai-Mura, Naka-Gun, Ibaraki-Ken; A. Takagi, KEK, Ibaraki; F. Tamura, JAERI/J-PARC, Tokai-Mura, Naka-Gun, Ibaraki-Ken; M. Yoshii, KEK, Ibaraki","Dual Harmonic Acceleration with Broadband MA Cavities in J-PARC RCS",
TUPLT073,"T. Uesugi, T. Fujisawa, NIRS, Chiba-shi; Y. Hashimoto, KEK, Ibaraki; I.N. Meshkov, JINR, Dubna, Moscow Region; K. Noda, S. Shibuya, NIRS, Chiba-shi; E. Syresin, JINR, Dubna, Moscow Region; D. Tann, H. Uchiyama, NIRS, Chiba-shi","Observation of Coupling Resonance in HIMAC Synchrotron",
TUPLT074,"T. Kobayashi, T. Asaka, H. Hanaki, M. Shoji, S. Suzuki, K. Tamura, JASRI/SPring-8, Hyogo","Dark Current Reduction System for SPring-8 Linac",
TUPLT075,"S. Suzuki, T. Asaka, H. Dewa, H. Hanaki, T. Kobayashi, T. Masuda, A. Mizuno, T. Taniuchi, H. Tomizawa, K. Yanagida, JASRI/SPring-8, Hyogo","Improvements of SPring-8 Linac towards Top-up Operation",
TUPLT076,"H. Tanaka, T. Ohshima, K. Soutome, M. Takao, H. Takebe, JASRI/SPring-8, Hyogo","Optimization of Sextupole Strengths in a Storage Ring for Top-up Operation",
TUPLT077,"Y. Shirakabe, Y. Arakaki, T. Kawakubo, Y. Mori, S. Murasugi, E. Nakamura, I. Sakai, M. Tomizawa, KEK, Ibaraki","Ramp;D Status of the Fast Extraction Kicker Magnets for the KEK/JAERI 50 GeV Synchrotron",
TUPLT078,"T. Toyama, K. Ohmi, KEK, Ibaraki; Y. Shobuda, JAERI/J-PARC, Tokai-Mura, Naka-Gun, Ibaraki-Ken","Study of Impedances and Instabilities in J-PARC",
TUPLT079,"I. Sakai, Y. Arakaki, K. Fan, KEK, Ibaraki; K. Gotou, IHI/Yokohama, Kanagawa; H. Mori, NICHICON, Shiga; Y. Mori, KEK, Ibaraki; Y. Morigaki, IHI/Yokohama, Kanagawa; M. Muto, KEK, Ibaraki; A. Nishikawa, IHI/Yokohama, Kanagawa; Y. Saitou, Y. Shirakabe, KEK, Ibaraki; M. Takahashi, IHI/Yokohama, Kanagawa; A. Tokuchi, NICHICON, Shiga; M. Tomizawa, M. Uota, KEK, Ibaraki","Opposite Field Septum Magnet System for the J-PARC 50GeV Ring Injection",
TUPLT080,"T. Ohkawa, JAERI, Ibaraki-ken; M. Ikegami, KEK, Ibaraki","Design of the Beam Transportation Line from the Linac to the 3-GeV RCS for J-PARC",
TUPLT081,"A. Sato, Osaka University, Osaka; S. Machida, KEK, Ibaraki","Lattice Design of Large Acceptance FFAGs for the PRISM Project",
TUPLT082,"J. Yang, T. Kozawa, S. Tagawa, Y. Yoshida, ISIR, Osaka","Generation of a Femtosecond Electron Beam for Nanoscience and Nanotechnology",
TUPLT085,"Y. Yamazaki, JAERI/J-PARC, Tokai-Mura, Naka-Gun, Ibaraki-Ken","J-PARC Construction and its Linac Commissioning",
TUPLT086,"F. Sakai, N. Nakajyo, Y. Okada, T. Yanagida, M. Yorozu, SHI, Tokyo","A 40MeV Electron Source with a Photocathode for X-ray Generation through Laser-compton Scattering",
TUPLT087,"M. Ikegami, H. Fadil, Kyoto ICR, Uji, Kyoto; T. Fujimoto, NIRS, Chiba-shi; M. Grieser, MPI-K, Heidelberg; A. Noda, Kyoto ICR, Uji, Kyoto; K. Noda, H. Ogawa, NIRS, Chiba-shi; H. Okamoto, HU/AdSM, Higashi-Hiroshima; S. Shibuya, NIRS, Chiba-shi; T. Shirai, Kyoto ICR, Uji, Kyoto; T. Takeuchi, NIRS, Chiba-shi; M. Tanabe, H. Tongu, Kyoto ICR, Uji, Kyoto","Deflection Element for S-LSR",
TUPLT088,"A. Noda, H. Fadil, S. Fujimoto, Kyoto ICR, Uji, Kyoto; M. Grieser, MPI-K, Heidelberg; M. Ikegami, Kyoto ICR, Uji, Kyoto; I.N. Meshkov, JINR, Dubna, Moscow Region; K. Noda, NIRS, Chiba-shi; H. Okamoto, HU/AdSM, Higashi-Hiroshima; T. Shirai, Kyoto ICR, Uji, Kyoto; E. Syresin, JINR, Dubna, Moscow Region; T. Takeuchi, NIRS, Chiba-shi; M. Tanabe, H. Tongu, Kyoto ICR, Uji, Kyoto; Y. Yuri, HU/AdSM, Higashi-Hiroshima","Beam Cooling at S-LSR",
TUPLT089,"Y.-S. Cho, B.-H. Choi, S.-H. Han, J.-H. Jang, Y.H. Kim, H.-J. Kwon, C.-B. Shim, KAERI, Daejon","Status of PEFP 3MeV RFQ Development",
TUPLT090,"J.-H. Jang, Y.-S. Cho, H.-J. Kwon, KAERI, Daejon","Combined Beam Dynamics Study of the RFQ and DTL for PEFP",
TUPLT091,"M.-Y. Park, Y.-S. Cho, J.-H. Jang, Y.H. Kim, H.-J. Kwon, KAERI, Daejon","Fabrication Status of the PEFP 20 MeV DTL",
TUPLT092,"H.-S. Kang, H.S. Han, S.H. Jeong, Y.G. Jung, D.E. Kim, M. Kim, H.G. Lee, T.-Y. Lee, H.S. Suh, PAL, Pohang","Optics and Magnet Design for Proton Beam Transport Line at PEFP",
TUPLT093,"E.-S. Kim, PAL, Pohang","Tune Survey of Dynamic Apertures for High-brilliance Optics of the Pohang Light Source",
TUPLT095,"K.-H. Park, PAL, Pohang; J.-S. Chai, KIRAMS, Seoul; Y.G. Jung, PAL, Pohang; B.-K. Kang, POSTECH, Pohang; D.E. Kim, PAL, Pohang; Y.S. Kim, KIRAMS, Seoul; L.W.W. Lee, PAL, Pohang; S.H. Shin, M. Yoon, POSTECH, Pohang, Kyungbuk","Precision Field Mapping System for Cyclotron Magnet",
TUPLT096,"I.H. Yu, PAL, Pohang; Y.-S. Cho, KAERI, Daejon; M.-H. Chun, K.M. Ha, Y.J. Han, W.H. Hwang, M.H. Jeong, H.-S. Kang, D.T. Kim, S.-C. Kim, I.-S. Park, PAL, Pohang; K.T. Seol, KAERI, Daejon; J.S. Yang, PAL, Pohang","RFQ Low Level RF System for the PEFP 100MeV Proton Linac",
TUPLT098,"M.A. Hofstee, S. Brandenburg, H. Post, W.K. van Asselt, KVI, Groningen","Vertical Beam Motion in the AGOR Cyclotron",
TUPLT099,"C.-S. Fann, J.-P. Chiou, S.Y. Hsu, K.-B. Liu, NSRRC, Hsinchu","A Kicker Pulse Power Supply with Low Jitter",
TUPLT102,"V.A. Mikhaylov, P.G. Akishin, A.V. Butenko, A.D. Kovalenko, JINR, Dubna, Moscow Region","Field Study of the 4T Superconducting Magnet for Rapid Cycling Heavy Ion Synchrotrons",
TUPLT103,"A.O. Sidorin, JINR, Dubna, Moscow Region; T. Katayama, CNS, Saitama; I.N. Meshkov, JINR, Dubna, Moscow Region; W. Mittig, P. Roussel-Chomaz, GANIL, Caen; A.O. Sidorin, A. Smirnov, E. Syresin, G.V. Troubnikov, JINR, Dubna, Moscow Region","Possibilities for Experiments with Rare Radioactive Ions in a Storage Ring Using Individual Injection",
TUPLT104,"G.V. Troubnikov, V. Antropov, E. Boltushkin, V. Bykovsky, A.I. Ivanov, S. Ivashkevich, A. Kobets, I.I. Korotaev, V. Lohmatov, I.N. Meshkov, D. Monahov, V. Pavlov, R. Pivin, I.A. Seleznev, A.O. Sidorin, A. Smirnov, E. Syresin, S. Yakovenko, JINR, Dubna, Moscow Region","Particle Dynamics in the Low Energy Positron Toroidal Accumulator: First Experiments and Results",
TUPLT105,"A. Fertman, ITEP, Moscow; G. Fehrenbacher, GSI, Darmstadt; A. Golubev, ITEP, Moscow; R.W. Hasse, I. Hofmann, E. Mustafin, GSI, Darmstadt; M. Prokuronov, ITEP, Moscow; D. Schardt, GSI, Darmstadt; B.Y. Sharkov, ITEP, Moscow; K. Weyrich, GSI, Darmstadt","Measurement of Activation Induced by an Argon Beam in a Copper Target at the SIS18",
TUPLT106,"S. Kondrashev, A. Balabaev, ITEP, Moscow; O. Camut, J. Chamings, CERN, Geneva; A. Charushin, SRC RF TRINITI, Moscow region; K. Konukov, ITEP, Moscow; H. Kugler, CERN, Geneva; K. Makarov, Y. Satov, SRC RF TRINITI, Moscow region; R. Scrivens, CERN, Geneva; B.Y. Sharkov, A. Shumshurov, ITEP, Moscow; Y. Smakovskii, SRC RF TRINITI, Moscow region","New Developments of a Laser Ion Source for Ion Synchrotrons",
TUPLT111,"E.S. Masunov, D.A. Efimov, MEPhI, Moscow; P.N. Ostroumov, ANL/Phys, Argonne, Illinois","RF Focusing of Low-Charge-to-Mass-Ratio Heavy-Ions in a Superconducting Linac",
TUPLT112,"E. Mustafin, GSI, Darmstadt; L. Latysheva, RAS/INR, Moscow; G. Moritz, GSI, Darmstadt; N. Sobolevskiy, RAS/INR, Moscow; G. Walter, GSI, Darmstadt","Radiation Damage to the Elements of the Nuclotron-type Dipole of SIS100",
TUPLT113,"V. Gorev, RRC Kurchatov Institute, Moscow","Technicalities for a Novel Medium Energy Ion Accelerator",
TUPLT117,"K. Gubin, M. Avilov, BINP SB RAS, Novosibirsk; J. Esposito, INFN/LNL, Legnaro, Padova; S. Fadeev, A. Korchagin, A. Lavrukhin, P.V. Logatchev, P. Martyshkin, S.N. Morozov, S. Shiyankov, BINP SB RAS, Novosibirsk; L.B. Tecchio, INFN/LNL, Legnaro, Padova","Test of Materials for the High Temperature Intense Neutron Target Converter",
TUPLT118,"K. Gubin, BINP SB RAS, Novosibirsk; O. Alyakrinsky, INFN/LNL, Legnaro, Padova; M. Avilov, D. Bolkhovityanov, S. Fadeev, A. Lavrukhin, P.V. Logatchev, P. Martyshkin, A.A. Starostenko, BINP SB RAS, Novosibirsk; L.B. Tecchio, INFN/LNL, Legnaro, Padova","Test of Construction for High Temperature Intense Neutron Target Prototype",
TUPLT120,"V.B. Reva, E.A. Bekhtenev, V.N. Bocharov, A.V. Bubley, Y. Evtushenko, A.D. Goncharov, A.V. Ivanov, V.I. Kokoulin, V.V. Kolmogorov, M.N. Kondaurov, S.G. Konstantinov, V.R. Kozak, G.S. Krainov, Ya.G. Kruchkov, E.A. Kuper, BINP SB RAS, Novosibirsk; J. Li, W. Lu, L.J. Mao, IMP, Lanzhou; A.S. Medvedko, L.A. Mironenko, V.M. Panasyuk, V.V. Parkhomchuk, K.K. Schreiner, B.A. Skarbo, A.N. Skrinsky, B.M. Smirnov, M.A. Vedenev, R. Voskoboinikov, BINP SB RAS, Novosibirsk; Z.X. Wang, X.B. Yan, X.D. Yang, IMP, Lanzhou; M.N. Zakhvatkin, N.P. Zapiatkin, BINP SB RAS, Novosibirsk; J.H. Zhang, W. Zhang, H.W. Zhao, IMP, Lanzhou","Commissioning of Electron Cooler EC-300",
TUPLT121,"V.V. Shirokov, A.A. Babkin, BINP SB RAS, Novosibirsk; M.V. Bokhovko, IPPE, Kaluga Region; P.V. Bykov, BINP SB RAS, Novosibirsk; O.E. Kononov, V.N. Kononov, IPPE, Kaluga Region; G.S. Kraynov, G. Silvestrov, Y. Tokarev, BINP SB RAS, Novosibirsk","Compact Tandem Accelerator Based Neutron Source for the Medicine",
TUPLT124,"K.-G. Rensfelt, G. Andler, L. Bagge, M. Blom, MSL, Stockholm; H. Cederquist, Stockholm University, Department of Physics, Stockholm; H. Danared, A. Källberg, MSL, Stockholm; M. Larsson, Stockholm University, Department of Physics, Stockholm; S. Leontein, L. Liljeby, P. Löfgren, A. Paal, MSL, Stockholm; H. Schmidt, K. Schmidt, Stockholm University, Department of Physics, Stockholm; A. Simonsson, Ö. Skeppstedt, MSL, Stockholm","DESIREE - A Double Electrostatic Storage Ring",
TUPLT128,"A.Y. Zelinsky, E.V. Bulyak, P. Gladkikh, I.M. Karnaukhov, A. Mytsykov, A.A. Shcherbakov, NSC/KIPT, Kharkov; T.R. Tatchyn, SLAC/SSRL, Menlo Park, California","The Operation Modes of Kharkov X-ray Generator based on Compton Scattering NESTOR",
TUPLT129,"V.A. Ivashchenko, P. Gladkikh, I.M. Karnaukhov, A. Mytsykov, V.I. Trotsenko, A.Y. Zelinsky, NSC/KIPT, Kharkov","NESTOR Reference Orbit Correction",
